day,infection,hosp_expected,icu_expected,deaths_expected,population,admitted,admitted_hosp,admitted_icu,rejected,rejected_hosp,rejected_icu,deaths,deaths_hosp,deaths_icu,beds,reserve_beds,occupied_beds,icu,reserve_icu,occupied_icu,budget,expenses
0,34.881,0.5268817204301076,0.0,0.0,50000,0,0,0,0,0,0,0,0,0,440,35,0,115,11,0,246290000,3710000
1,41.14719422456174,0.6220068690563382,0.0,0.0,50000,2,2,0,0,0,0,0,0,0,440,35,2,115,11,0,242580000,3710000
2,48.451729613654756,0.7330850086281095,0.05454545454545453,0.0,50000,1,1,0,0,0,0,0,0,0,440,35,3,115,11,0,238870000,3710000
3,56.98956586432054,0.8631771217274207,0.027272727272727264,0.0,50000,0,0,0,0,0,0,0,0,0,440,35,3,115,11,0,235160000,3710000
4,66.98013364796378,1.015760855541808,0.0,0.0,50000,0,0,0,0,0,0,0,0,0,440,35,3,115,11,0,231450000,3710000
5,78.67313411269778,1.1948359454945243,0.0,0.0,50000,0,0,0,0,0,0,0,0,0,440,35,3,115,11,0,227740000,3710000
6,92.35398422373777,1.4050309529545109,0.0,0.0,50000,1,1,0,0,0,0,0,0,0,440,35,4,115,11,0,224030000,3710000
7,108.34905552031712,1.6517158758229973,0.027272727272727264,0.0,50000,2,2,0,0,0,0,0,0,0,440,35,6,115,11,0,220320000,3710000
8,127.03069956393374,1.9411236342497227,0.05454545454545453,0.0,49999,1,1,0,0,0,0,1,1,0,440,35,5,115,11,0,216610000,3710000
9,148.8248836447804,2.2804822143546093,0.027272727272727264,0.0,49999,2,2,0,0,0,0,0,0,0,440,35,5,115,11,0,212900000,3710000
10,174.20389856711031,2.6781601956962025,0.05454545454545453,0.0,49999,1,1,0,0,0,0,0,0,0,440,35,6,115,11,0,209190000,3710000
11,203.70547013058723,3.143818679040365,0.027272727272727264,0.0,49998,3,3,0,0,0,0,1,1,0,440,35,8,115,11,0,205480000,3710000
12,237.92777602114168,3.688572355055145,0.08181818181818179,0.0,49998,3,3,0,0,0,0,0,0,0,440,35,11,115,11,0,201770000,3710000
13,277.512133161388,4.325162172835282,0.08181818181818179,0.0,49998,5,5,0,0,0,0,0,0,0,440,35,15,115,11,0,198060000,3710000
14,323.1630125810948,5.068116496597926,0.13636363636363633,0.0,49998,7,7,0,0,0,0,0,0,0,440,35,19,115,11,0,194350000,3710000
15,375.61896676871186,5.93390057017973,0.19090909090909086,0.0,49997,3,3,0,0,0,0,1,1,0,440,35,16,115,11,0,190640000,3710000
16,435.64582814835893,6.9410447178136,0.08181818181818179,0.0,49996,7,7,0,0,0,0,1,1,0,440,35,20,115,11,0,186930000,3710000
