day,today_hosp,today_inc,today_deaths,today_admitted,today_rejected,sd_expected,final_expected,admitted,rejected,deaths,population
0,0,0,0,0,0,0.0,0.0,0,0,0,5000
1,22,0,1,22,0,15.0,15.0,22,0,1,5000
2,16,0,3,16,0,16.041128330068158,16.041128330068158,38,0,4,5000
3,20,0,1,20,0,17.403984929969944,17.403984929969944,58,0,5,5000
4,18,0,0,18,0,19.018995218829684,19.018995218829684,76,0,5,5000
5,19,1,1,20,0,20.84394660657273,20.84394660657273,96,0,6,5000
6,32,0,4,32,0,22.851926060595098,22.851926060595098,128,0,10,5000
7,36,1,6,37,0,25.02384270270883,25.02384270270883,165,0,16,5000
8,33,2,5,35,0,27.34371394541562,27.34371394541562,200,0,21,5000
9,33,4,7,37,0,29.79564083872472,29.79564083872472,237,0,28,5000
10,26,1,2,27,0,32.36184705930648,32.36184705930648,264,0,30,5000
11,38,1,4,39,0,35.02142629568221,35.02142629568221,303,0,34,5000
12,42,2,10,44,0,37.74960482000565,37.74960482000565,347,0,44,5000
13,45,0,2,45,0,40.51742087156251,40.51742087156251,392,0,46,5000
14,50,1,4,51,0,43.2917742176435,43.2917742176435,443,0,50,5000
15,42,4,9,46,0,46.03582227492908,46.03582227492908,489,0,59,5000
16,49,4,6,53,0,48.709702513801005,48.709702513801005,542,0,65,5000
17,46,3,9,49,0,51.27155093238932,51.27155093238932,591,0,74,5000
18,48,5,5,53,0,53.67876848649511,53.67876848649511,644,0,79,5000
19,53,2,7,55,0,55.88946644654092,55.88946644654092,699,0,86,5000
20,59,3,10,62,0,57.86400244372894,57.86400244372894,761,0,96,5000
21,56,5,6,61,0,59.56650566267397,59.56650566267397,822,0,102,5000
22,65,3,7,68,0,60.96628540538824,60.96628540538824,890,0,109,5000
23,60,3,6,63,0,62.039023729775046,62.039023729775046,953,0,115,5000
24,59,5,9,64,0,62.767669869547376,62.767669869547376,1017,0,124,5000
25,61,3,4,64,0,63.14297970786293,63.14297970786293,1081,0,128,5000
26,57,7,8,64,0,63.16367436531487,63.16367436531487,1145,0,136,5000
27,65,6,9,67,4,62.83622393353725,62.83622393353725,1212,4,145,5000
